	SRR10738313	SRR10738318	SRR10738253	SRR10738254
A1BG	69.3394723586624	25.3248321916402	141.147224462318	153.482400456034
A1CF	2.02521036490278	0	0.183640737414822	0
A2M	0	6.97475601074744	513.881376137255	570.543338082204
A2ML1	26.735330301006	58.8993071938683	11.1768160769105	5.90964944711969
A3GALT2	0	0	0	10.599137640933
A4GALT	179.603908510511	98.981091005246	59.4811635099978	104.463940603297
A4GNT	0	0	1.07927887895912	0
AAAS	2213.483964712	1451.19857429536	1748.68593728764	1203.98636349742
AACS	1294.86755440732	1042.19554061789	394.399403276773	305.679352831658
AADAC	2.09958496723232	0	0	0
AADACL2	0	0	0	0
AADACL3	4.49137773421086	10.480003095088	0	0
AADACL4	1.47083318504609	0	0.916814460477433	0
AADAT	283.530456739449	190.456293739459	479.750181270123	172.749195375087
AAGAB	2033.21676242293	1433.92499014815	2480.3242645876	1948.73464895346
AAK1	168.689555859778	212.198417942044	215.379120882505	233.912039874499
AAMDC	2586.85627389873	1292.11880238683	2360.55817611477	2078.99745382262
AAMP	4960.89497942712	4460.78744395764	3905.88814796751	2169.21679338539
AANAT	11.4263175059224	15.777493393526	34.1869141176588	52.4861875481995
AAR2	1159.81696220329	758.434397249817	922.221856045008	608.922020655236
AARD	70.9353563154089	52.9878037254349	42.0732906803421	44.0504521592483
AARS1	5058.87523228956	4570.89391386104	3877.54409563549	2739.99979872001
AARS2	593.068282137232	517.072597953813	491.99414865327	324.177036315388
AARSD1	1681.95259891597	1388.79543147679	1855.72599674828	1236.80494141762
AASDH	550.133061602891	304.442668572454	532.854794701372	453.881830095073
AASDHPPT	1753.31295295898	1214.61067023196	4897.70567581294	2930.60879831038
AASS	7288.83218762652	3503.4098437933	424.765906706904	454.898322788327
AATF	2432.50545052816	1743.40998534641	1411.73732407649	819.313587370312
AATK	86.0683361010988	25.455561582944	411.402973620131	181.499009947639
ABAT	184.543676336955	65.2571706569669	4493.82258576063	1563.95023925071
ABCA1	702.046400578361	366.88699778315	819.189565129122	352.563918071368
ABCA10	6.14108599164387	8.98258556934651	25.7369996633666	12.7353213694157
ABCA12	0	0	0.881182675605901	2.64994903839957
ABCA13	14.0719283602161	7.63591193251935	38.1206406394771	48.9390933976955
ABCA2	65.2399932491897	63.0620968633176	540.752998463459	280.746746298122
ABCA3	109.5655509998	90.8986497029052	1101.0880844737	537.786158628606
ABCA4	0.366320057799463	1.16253461297172	3.14975216131507	8.58854168504643
ABCA5	52.9477210112646	34.0051113365704	750.783972415405	882.47404571878
ABCA6	0	0.307077157979369	7.94675159964161	9.21563388888653
ABCA7	162.70753794766	77.3172181247725	155.159489569711	142.125471526072
ABCA8	0	0	375.796945760634	391.489103441105
ABCA9	29.1181159144984	19.1371907604054	27.6540197267868	54.5434124723384
ABCB1	5.36126763035795	15.4874666679257	12.1219782692931	8.34661667491411
ABCB10	364.685521786009	307.651509133649	494.877244401353	296.754405247882
ABCB11	25.3676858646358	45.5502301006893	42.1269073176409	88.9247977360231
ABCB4	9.41811579493274	4.22232503681267	9.06695634320555	16.77601779918
ABCB5	19.204431781645	16.1682136494179	14.9090296488811	17.8170322497793
ABCB6	721.224860276654	588.989515060405	1723.25768384872	939.178006888218
ABCB7	1962.78768683672	940.26531762411	1093.83343054586	939.883775676687
ABCB8	348.361892502355	434.599797682208	782.154548754951	431.856274759116
ABCB9	141.467576926245	100.624086477641	439.278781495744	207.82073326975
ABCC1	499.294413676852	557.110090161875	199.934675793931	279.902094052765
ABCC10	301.97474598053	239.57443973224	263.502305658052	185.12628585458
ABCC11	0.460195584666907	3.1254232968233	21.0567328058257	6.58995574586511
ABCC12	1.89819201113011	0.372794718539764	0	0.361711599724745
ABCC2	6.16509049292483	5.27510454864229	5.86715447774532	2.18074308550131
ABCC3	2.27413135906038	3.72868114440733	2.46460062249976	28.0763773554181
ABCC4	331.820561193424	280.415504139148	708.317943621515	339.685479949361
ABCC5	826.592859131692	822.860218182341	1041.83126228574	594.545528935166
ABCC6	124.909324411492	37.3664177674326	61.5345906065459	207.693640325348
ABCC8	26.0897884851369	32.3176266565105	38.4621651022711	80.6705609807266
ABCC9	48.6844079012459	56.2689392490843	191.40535014364	151.49526009413
ABCD1	98.3408887942557	53.6993487561417	173.989066861075	111.035144417074
ABCD2	2.6500269829446	0.615735150748851	262.727642870413	47.5713625918702
ABCD3	1426.21371425794	737.100580090165	3182.19033952083	1122.29727156995
ABCD4	1381.12797024272	1529.74644407505	1494.18120173629	1246.84101937198
ABCE1	5823.4304473047	4629.2864788171	2915.27016096831	1839.03691240187
ABCF1	3244.00516248011	2362.9492738717	1664.46088339758	801.905836420889
ABCF2	1494.43402593393	1201.80438405564	1034.90536695466	459.822994076889
ABCF2-H2BE1	615.057979376251	766.013935484553	299.250672923712	276.652396765008
ABCF3	817.881192748775	617.026325792869	1072.64930190645	497.646550473074
ABCG1	322.066382380558	199.764192525257	497.758950922838	326.596756782901
ABCG2	133.712986187297	225.158637906047	5.1133676357212	4.39657548873925
ABCG4	12.4938838142575	8.29353920520619	128.58456098856	27.9320062929879
ABCG5	0	0	0.657780020194289	0
ABCG8	0.95112917370634	1.54608465392279	3.43769753347501	1.47974067441794
ABHD1	7.00625369081765	4.78109367673211	9.92343331338946	16.3742937156019
ABHD10	1101.4046973649	815.537593830191	2252.24224343841	1686.19775338884
ABHD11	1178.70548775223	483.782221546722	667.666883056188	333.842402996928
ABHD12	1721.28019213484	1233.45921749721	2153.60982088752	1142.81012924048
ABHD12B	8.10674420582776	28.9136094571226	0	1.25283602460362
